asset_a,asset_b,n_obs,pearson_r,pearson_p,pearson_q,significant_after_fdr,direction,hedge_ratio,adf_p,adf_q,is_mean_reverting,half_life_hours,half_life_hours_ci_low,half_life_hours_ci_high,current_rolling_zscore,current_ou_zscore
ADA,ARB,4620,0.7389452731306612,0.0,0.0,True,positive,0.4956547987986632,0.33993140103730624,0.44452567827955436,True,8.075877606818116,,,-3.5000639949711885,-1.0280922737348612
DOGE,ENA,4620,0.366507146813218,7.153661804782663e-147,7.660614216145213e-147,True,positive,1.0735985550637215,0.35797102252482077,0.4636577053654821,True,5.321978452013424,,,2.260906403851833,-0.4807188303889235
DOGE,OP,4620,0.6271771379792946,0.0,0.0,True,positive,0.6178701737580832,0.36836400679625264,0.4682009806008445,True,5.59046806105432,,,1.8247159657443353,1.888936982817517
ENA,SOL,4620,0.40401396931034794,5.801650678659017e-181,6.630457918467447e-181,True,positive,0.11289523148119228,0.37332759239819635,0.4701162274643954,True,8.731043697669103,,,3.046760238196202,-0.5036856226976063
AVAX,OP,4620,0.4925496110135712,5.398688017657372e-281,8.068368905509919e-281,True,positive,0.04910934168999116,0.4075052823626895,0.5084469578103282,True,9.112923635037374,,,2.562867716502735,1.6513541415216724
ADA,SUI,4620,0.7421570862327327,0.0,0.0,True,positive,0.9441582867000908,0.42085348017673907,0.517129793846834,True,2.9474803554172997,,,-3.1220462546466,-4.153524654191123
AVAX,ENA,4620,0.42398566845762076,5.331480714993058e-201,6.1972767285389384e-201,True,positive,0.5277870986060169,0.42206916997793065,0.517129793846834,True,9.16361623790731,,,2.909972833011011,-0.7668606169497872
ARB,ENA,4620,0.45048884893009483,9.08102799835511e-230,1.13304569520761e-229,True,positive,0.15285608888736,0.43561102138395835,0.5289562402519494,True,6.718222601080025,,,1.3635798270585313,1.9680799539864975
ETH,XRP,4620,0.8830591418799248,0.0,0.0,True,positive,0.6724288100747962,0.4529370905355613,0.5451278257773127,True,6.832645167195536,,,-6.139428233149798,-2.6768094780404237
ADA,AVAX,4620,0.7129033839235834,0.0,0.0,True,positive,0.6763598775980447,0.47760506129554553,0.5697744590894227,True,11.901878752415032,,,-3.302467372707587,-1.4059971203480894
ETH,WIF,4620,0.47826465704634813,8.71293393592585e-263,1.1849590152859155e-262,True,positive,1.8055501908355072,0.49278321144044945,0.5801846158447085,True,9.947799928132628,,,-3.360574807874334,-2.8510818311441217
ADA,BTC,4620,0.8056441583078903,0.0,0.0,True,positive,0.42257154579166845,0.4948633488087219,0.5801846158447085,True,5.933818422407751,,,1.7295136258003896,-1.9252812827768553
SUI,WLD,4620,0.4044417112664134,2.2314614541801576e-181,2.57185387939408e-181,True,positive,0.08650543546924516,0.5297855683766826,0.615819122215631,True,24.189584128985032,,,2.4974955886134893,1.381703725252886
BTC,ETH,4620,0.9127460042011917,0.0,0.0,True,positive,0.5146784138431658,0.5371831132648816,0.6169846077483384,True,12.21684818858399,,,1.7487820294609573,-0.9985400482517008
AAVE,AVAX,4620,0.44594113924413215,1.1978057901903879e-224,1.4675818690620969e-224,True,positive,0.10547922555244942,0.5398615317797961,0.6169846077483384,True,10.567879469215443,,,2.5367616466852474,1.6850797541783216
CRV,ENA,4620,0.48765499494190945,1.171495931954052e-274,1.6596192369349068e-274,True,positive,0.22766906618296096,0.5790037341594356,0.6562042320473604,True,8.62330224351202,,,2.801533873036506,3.105837010056681
